Country,Country_Code,Time_Stamp,Cases
Australia,AUS,1/30/20 11:00,9.0
Belgium,BEL,1/30/20 11:00,0.0
Cambodia,KHM,1/30/20 11:00,1.0
Canada,CAN,1/30/20 11:00,2.0
Finland,FIN,1/30/20 11:00,1.0
France,FRA,1/30/20 11:00,5.0
Germany,DEU,1/30/20 11:00,4.0
Hong Kong,HKG,1/30/20 11:00,10.0
India,IND,1/30/20 11:00,1.0
Italy,ITA,1/30/20 11:00,0.0
Japan,JPN,1/30/20 11:00,11.0
Macao,MAC,1/30/20 11:00,7.0
Malaysia,MYS,1/30/20 11:00,8.0
Nepal,NPL,1/30/20 11:00,1.0
Philippines,PHL,1/30/20 11:00,1.0
Russian Federation,RUS,1/30/20 11:00,0.0
Singapore,SGP,1/30/20 11:00,10.0
"Korea, Republic of",KOR,1/30/20 11:00,4.0
Spain,ESP,1/30/20 11:00,0.0
Sri Lanka,LKA,1/30/20 11:00,1.0
Sweden,SWE,1/30/20 11:00,0.0
"Taiwan, Province of China",TWN,1/30/20 11:00,9.0
Thailand,THA,1/30/20 11:00,14.0
United Kingdom,GBR,1/30/20 11:00,0.0
United States,USA,1/30/20 11:00,5.0
United Arab Emirates,ARE,1/30/20 11:00,4.0
Viet Nam,VNM,1/30/20 11:00,2.0
Australia,AUS,1/31/20 14:00,9.0
Belgium,BEL,1/31/20 14:00,0.0
Cambodia,KHM,1/31/20 14:00,1.0
Canada,CAN,1/31/20 14:00,4.0
Finland,FIN,1/31/20 14:00,1.0
France,FRA,1/31/20 14:00,5.0
Germany,DEU,1/31/20 14:00,5.0
Hong Kong,HKG,1/31/20 14:00,12.0
India,IND,1/31/20 14:00,1.0
Italy,ITA,1/31/20 14:00,2.0
Japan,JPN,1/31/20 14:00,15.0
Macao,MAC,1/31/20 14:00,7.0
Malaysia,MYS,1/31/20 14:00,8.0
Nepal,NPL,1/31/20 14:00,1.0
Philippines,PHL,1/31/20 14:00,1.0
Russian Federation,RUS,1/31/20 14:00,2.0
Singapore,SGP,1/31/20 14:00,13.0
"Korea, Republic of",KOR,1/31/20 14:00,11.0
Spain,ESP,1/31/20 14:00,0.0
Sri Lanka,LKA,1/31/20 14:00,1.0
Sweden,SWE,1/31/20 14:00,1.0
"Taiwan, Province of China",TWN,1/31/20 14:00,10.0
Thailand,THA,1/31/20 14:00,19.0
United Kingdom,GBR,1/31/20 14:00,2.0
United States,USA,1/31/20 14:00,7.0
United Arab Emirates,ARE,1/31/20 14:00,4.0
Viet Nam,VNM,1/31/20 14:00,2.0
Australia,AUS,02/01/20 10:00,12.0
Belgium,BEL,02/01/20 10:00,0.0
Cambodia,KHM,02/01/20 10:00,1.0
Canada,CAN,02/01/20 10:00,4.0
Finland,FIN,02/01/20 10:00,1.0
France,FRA,02/01/20 10:00,6.0
Germany,DEU,02/01/20 10:00,7.0
Hong Kong,HKG,02/01/20 10:00,13.0
India,IND,02/01/20 10:00,1.0
Italy,ITA,02/01/20 10:00,2.0
Japan,JPN,02/01/20 10:00,17.0
Macao,MAC,02/01/20 10:00,7.0
Malaysia,MYS,02/01/20 10:00,8.0
Nepal,NPL,02/01/20 10:00,1.0
Philippines,PHL,02/01/20 10:00,1.0
Russian Federation,RUS,02/01/20 10:00,2.0
Singapore,SGP,02/01/20 10:00,18.0
"Korea, Republic of",KOR,02/01/20 10:00,12.0
Spain,ESP,02/01/20 10:00,1.0
Sri Lanka,LKA,02/01/20 10:00,1.0
Sweden,SWE,02/01/20 10:00,1.0
"Taiwan, Province of China",TWN,02/01/20 10:00,10.0
Thailand,THA,02/01/20 10:00,19.0
United Kingdom,GBR,02/01/20 10:00,2.0
United States,USA,02/01/20 10:00,7.0
United Arab Emirates,ARE,02/01/20 10:00,4.0
Viet Nam,VNM,02/01/20 10:00,6.0
Australia,AUS,02/02/20 21:00,12.0
